select h1.bez, h2.bez, s.laenge_in_meter, s.laenge_in_meter / 10 as sekunden
from segment s
     join haltestelle h1 on h1.hid=s.hid_a 
     join haltestelle h2 on h2.hid=s.hid_b 
order by h1.bez, h2.bez
;

bez                       |bez                       |laenge_in_meter|sekunden|
OnkelTomsHütte            |KrummeLanke               |           1251|     125|
OranienburgerTor          |Naturkundemuseum          |            763|      76|
OskarHeleneHeim           |OnkelTomsHütte            |           1013|     101|
OsloerStr                 |FranzNeumannPlatz         |            967|      96|
OtisStr                   |HolzhauserStr             |            787|      78|
Pankow                    |VinetaStr                 |            870|      87|
PankStr                   |OsloerStr                 |            793|      79|
ParacelsusBad             |LindauerAllee             |            583|      58|
ParadeStr                 |PlatzDerLuftbrücke        |            841|      84|
ParchimerAllee            |Blaschkoallee             |            831|      83|
PaulsternStr              |Haselhorst                |           1107|     110|
PlatzDerLuftbrücke        |Mehringdamm               |            879|      87|
Podbielskiallee           |DahlemDorf                |            802|      80|
PotsdamerPlatz            |MendelssohnBartholdyPark  |            627|      62|
PrinzenStr                |HalleschesTor             |           1005|     100|
RathausNeukölln           |Hermannplatz              |            942|      94|
RathausReinickendorf      |Wittenau                  |           1131|     113|
RathausSchöneberg         |BayerischerPlatz          |            604|      60|
RathausSteglitz           |SchloßStr                 |            705|      70|
Rehberge                  |AfrikanischeStr           |            691|      69|
ReinickendorferStr        |Wedding                   |            431|      43|
ResidenzStr               |ParacelsusBad             |            979|      97|
RichardWagnerPlatz        |Mierendorffplatz          |            987|      98|
Rohrdamm                  |PaulsternStr              |            978|      97|
RosaLuxemburgPlatz        |Alexanderplatz            |            746|      74|
RosenthalerPlatz          |BernauerStr               |            979|      97|
RüdesheimerPlatz          |Breitenbachplatz          |            667|      66|
Rudow                     |ZwickauerDamm             |           1161|     116|
SamariterStr              |FrankfurterAllee          |            686|      68|
ScharnweberStr            |OtisStr                   |            726|      72|
SchillingStr              |StrausbergerPlatz         |            745|      74|
SchlesischesTor           |GörlitzerBahnhof          |            935|      93|
SchloßStr                 |WaltherSchreiberPlatz     |            489|      48|
SchönhauserAllee          |EberswalderStr            |            947|      94|
SchönleinStr              |KottbusserTor             |            721|      72|
SchwartzkopffStr          |ReinickendorferStr        |            673|      67|
SeeStr                    |Rehberge                  |           1014|     101|
Senefelderplatz           |RosaLuxemburgPlatz        |            516|      51|
Siemensdamm               |Rohrdamm                  |            709|      70|
SophieCharlottePlatz      |Kaiserdamm                |           1076|     107|
SpichernStr               |Hohenzollernplatz         |            541|      54|
SpichernStr               |Kurfürstendamm            |            801|      80|
Spittelmarkt              |Hausvogteiplatz           |            528|      52|
Stadtmitte                |FranzösischeStr           |            366|      36|
Stadtmitte                |MohrenStr                 |            402|      40|
StrausbergerPlatz         |Weberwiese                |            763|      76|
Südstern                  |Gneisenaustr              |            866|      86|
Tempelhof                 |ParadeStr                 |            831|      83|
TheodorHeussPlatz         |NeuWestend                |           1152|     115|
Tierpark                  |BiesdorfSüd               |           1629|     162|
Turmstr                   |BirkenStr                 |            700|      70|
UllsteinStr               |KaiserinAugustaStr        |            786|      78|
ViktoriaLuisePlatz        |Nollendorfplatz           |            815|      81|
VinetaStr                 |SchönhauserAllee          |           1137|     113|
VoltaStr                  |Gesundbrunnen             |            814|      81|
WaltherSchreiberPlatz     |FriedrichWilhelmPlatz     |            717|      71|
WarschauerStr             |SchlesischesTor           |            717|      71|
Weberwiese                |FrankfurterTor            |            743|      74|
Wedding                   |Leopoldplatz              |            616|      61|
WeinmeisterStr            |RosenthalerPlatz          |            557|      55|
Westhafen                 |AmrumerStr                |            773|      77|
Westphalweg               |UllsteinStr               |            853|      85|
WilmersdorferStr          |BismarckStr               |            579|      57|
Wittenbergplatz           |AugsburgerStr             |            429|      42|
Wittenbergplatz           |Kurfürstendamm            |            779|      77|
Wittenbergplatz           |ZoologischerGarten        |            857|      85|
Wuhletal                  |KaulsdorfNord             |           1368|     136|
Wutzkyallee               |Lipschitzallee            |            814|      81|
YorckStr                  |Kleistpark                |            681|      68|
Zitadelle                 |AltstadtSpandau           |            759|      75|
ZoologischerGarten        |ErnstReuterPlatz          |            861|      86|
ZoologischerGarten        |Hansaplatz                |           1401|     140|
ZwickauerDamm             |Wutzkyallee               |            650|      65|
